Row Labels,Sum of Agricultural credit direct (in 000Rs),Count of Agricultural credit indirect (in 000Rs),Sum of  Total  credit (in 000Rs)
2002,468104039,502,5644755030
2003,576748924,507,6499896554
2004,687099236,508,7491062598
2005,930188474,512,9809194129
2006,1216080518,514,12904484915
2007,1666348959,520,16640011892
2008,2082257591,530,20848163902
2009,2309037780,534,24251528898
2010,2925268335,534,25804108355
2011,3651732424,536,34722939938
2012,4588793330,542,40645041971
2013,5683512921,551,46946314530
2014,6898728136,555,52971900253
2015,7771759455,558,58542095405
Grand Total,41455660122,7403,3.63721E+11